id,city_start_gar_id,city_end_gar_id,city_name_start,city_name_end,distance,created_at,updated_at
9d43a9ff-b9ae-480c-9677-ef668bab80c4,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,93b3df57-4c89-44df-ac42-96f05e9cd3b9,Москва,Казань,725,2024-10-17 04:30:04,2024-10-17 04:30:04
9d43a9ff-babc-4eba-ab84-d533e05cf920,93b3df57-4c89-44df-ac42-96f05e9cd3b9,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,Казань,Москва,760,2024-10-17 04:30:04,2024-10-17 04:30:04
9d43a9ff-dc03-4d9f-b0ea-b6f903eda27e,f66a00e6-179e-4de9-8ecb-78b0277c9f10,c78b9b9e-ace7-46d0-9f6f-c259d7f65e4f,Владимир,Шарья,394,2024-10-17 04:30:04,2024-10-17 04:30:04
9d43a9ff-dd20-4257-8832-0501127c2afe,c78b9b9e-ace7-46d0-9f6f-c259d7f65e4f,f66a00e6-179e-4de9-8ecb-78b0277c9f10,Шарья,Владимир,440,2024-10-17 04:30:04,2024-10-17 04:30:04
9d43aa00-020f-494a-9d5d-986547ba42cb,ea2a1270-1e19-4224-b1a0-4228b9de3c7a,bb035cc3-1dc2-4627-9d25-a1bf2d4b936b,Тамбов,Самара,590,2024-10-17 04:30:04,2024-10-17 04:30:04
9d43aa00-031f-43c5-8711-777ae0ec10c7,bb035cc3-1dc2-4627-9d25-a1bf2d4b936b,ea2a1270-1e19-4224-b1a0-4228b9de3c7a,Самара,Тамбов,615,2024-10-17 04:30:04,2024-10-17 04:30:04
9d43aa00-1a79-4c1e-aee7-a490ddb4b394,dd8caeab-c685-4f2a-bf5f-550aca1bbc48,a309e4ce-2f36-4106-b1ca-53e0f48a6d95,Чебоксары,Пермь,664,2024-10-17 04:30:05,2024-10-17 04:30:05
9d43aa00-1b1d-4bcb-b893-908c694771a1,a309e4ce-2f36-4106-b1ca-53e0f48a6d95,dd8caeab-c685-4f2a-bf5f-550aca1bbc48,Пермь,Чебоксары,717,2024-10-17 04:30:05,2024-10-17 04:30:05
9d43aa00-3884-49e0-a018-1291578f0338,cd6486b7-fd7a-4da8-b7f3-420d6e16b07b,555e7d61-d9a7-4ba6-9770-6caa8198c483,Шатура,Нижний Новгород,290,2024-10-17 04:30:05,2024-10-17 04:30:05
9d43aa00-390d-4053-8b0b-52c027580a16,555e7d61-d9a7-4ba6-9770-6caa8198c483,cd6486b7-fd7a-4da8-b7f3-420d6e16b07b,Нижний Новгород,Шатура,297,2024-10-17 04:30:05,2024-10-17 04:30:05
9d43aa00-5312-40c6-9456-9cfbb06a8710,169a49f5-e0ed-44ae-83f8-653e44685e15,8d72434a-977f-418b-80e0-f37ff75d52e4,Павлово,Кстово,71,2024-10-17 04:30:05,2024-10-17 04:30:05
9d43aa00-5407-4b74-be08-0ea29364a734,8d72434a-977f-418b-80e0-f37ff75d52e4,169a49f5-e0ed-44ae-83f8-653e44685e15,Кстово,Павлово,84,2024-10-17 04:30:05,2024-10-17 04:30:05
9d43aa00-6d2b-4665-b59c-8559d800396d,dacc69b0-38df-462e-b346-26541cb9c0b8,730b8507-0c36-4bcc-9e39-3fbaa55ff8a2,Семёнов,село Осиново,289,2024-10-17 04:30:05,2024-10-17 04:30:05
9d43aa00-6e45-4245-9b25-311ac6939100,730b8507-0c36-4bcc-9e39-3fbaa55ff8a2,dacc69b0-38df-462e-b346-26541cb9c0b8,село Осиново,Семёнов,327,2024-10-17 04:30:05,2024-10-17 04:30:05
9d43aa00-890a-40a5-b446-41e8ac303f17,5bf5ddff-6353-4a3d-80c4-6fb27f00c6c1,7dfa745e-aa19-4688-b121-b655c11e482f,Воронеж,Краснодар,735,2024-10-17 04:30:05,2024-10-17 04:30:05
9d43aa00-89ba-4fd0-9bce-6958738e3dea,7dfa745e-aa19-4688-b121-b655c11e482f,5bf5ddff-6353-4a3d-80c4-6fb27f00c6c1,Краснодар,Воронеж,784,2024-10-17 04:30:05,2024-10-17 04:30:05
